request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 in full on 2025-08-03. This keeps the IDR 24768300 minimum protected over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 in full on 2026-07-05. This keeps the ZAR 20500 minimum protected over the next 90 days.
request_28,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the EUR 1100 minimum protected, although EUR 0 is available today."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,Pay ZAR 51524 in full on 2025-11-04. This keeps the ZAR 28300 minimum protected over the next 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 2026-04-06. This leaves at least USD 900 available."
request_31,9199047.66,affordable_later,wait,2024-11-16:18164000,2024-11-16,none,"Wait until 2024-11-16, then pay IDR 18164000 in full. Paying sooner would put the IDR 16588900 minimum at risk."
request_32,11920.07,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 35700 minimum protected, although ZAR 11920.07 is available today."
request_33,33600.11,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 102100 minimum protected, although INR 33600.11 is available today."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 in full on 2024-12-04. This keeps the INR 138500 minimum protected over the next 90 days.
request_35,19710.66,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 106400 minimum protected, although INR 19710.66 is available today."
request_36,423.43,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 2400 minimum protected, although USD 423.43 is available today."
request_37,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 17056200 minimum protected, although IDR 0 is available today."
request_38,283.82,affordable_later,wait,2025-10-13:971.3,2025-10-13,none,"Wait until 2025-10-13, then pay EUR 971.3 in full. Paying sooner would put the EUR 400 minimum at risk."
request_39,141601.27,affordable_later,wait,2026-06-14:208600,2026-06-14,none,"Wait until 2026-06-14, then pay INR 208600 in full. Paying sooner would put the INR 213400 minimum at risk."
request_40,134.32,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the EUR 1500 minimum protected, although EUR 134.32 is available today."
request_41,5305798.69,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 25366600 minimum protected, although IDR 5305798.69 is available today."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Pay INR 52100 in full on 2026-01-05. This keeps the INR 113100 minimum protected over the next 90 days.
request_43,11485500,affordable_later,wait,2024-11-13:43339000,2024-11-13,none,"Wait until 2024-11-13, then pay IDR 43339000 in full. Paying sooner would put the IDR 21398000 minimum at risk."
request_44,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 82900 minimum protected, although INR 0 is available today."
request_45,5178288.52,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 11149800 minimum protected, although IDR 5178288.52 is available today."
request_46,21005.88,not_affordable,not_recommended,none,2025-02-15,none,"Do not make this payment by the requested date. None of the available options keeps the INR 84000 minimum protected, although INR 21005.88 is available today."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 in full on 2025-05-05. This keeps the IDR 30049000 minimum protected over the next 90 days.
request_48,38400.12,affordable_later,wait,2026-10-13:45700,2026-10-13,none,"Wait until 2026-10-13, then pay INR 45700 in full. Paying sooner would put the INR 71300 minimum at risk."
request_49,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 20275700 minimum protected, although IDR 0 is available today."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 in full on 2025-08-06. This keeps the INR 99700 minimum protected over the next 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 in full on 2026-01-03. This keeps the IDR 7811000 minimum protected over the next 90 days.
request_52,18890.31,affordable_later,wait,2024-06-14:28870,2024-06-14,none,"Wait until 2024-06-14, then pay INR 28870 in full. Paying sooner would put the INR 41500 minimum at risk."
request_53,787.79,not_affordable,not_recommended,none,2026-01-13,none,"Do not make this payment by the requested date. None of the available options keeps the USD 2100 minimum protected, although USD 787.79 is available today."
request_54,4491.39,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 37000 minimum protected, although ZAR 4491.39 is available today."
request_55,139341.2,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-08-13,stop:event_5101|reduce_to:event_5103:2536|reduce_to:event_5163:2750,"Use 3 installments of INR 75781.33, starting 2026-06-11 after stopping event_5101 and reducing event_5103 to INR 2536 and reducing event_5163 to INR 2750. This leaves at least INR 124300 available."
request_56,678.32,affordable_with_plan,partial_payment,2025-02-03:678.32|2025-02-15:203.24,2025-02-15,none,Pay USD 678.32 today and the remaining USD 203.24 on 2025-02-15. This completes the full request while keeping the USD 2100 minimum protected.
request_57,9092.46,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 42700 minimum protected, although ZAR 9092.46 is available today."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 in full on 2024-12-07. This keeps the IDR 14433900 minimum protected over the next 90 days.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132600 available."
request_60,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 400 minimum protected, although USD 0 is available today."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 in full on 2025-08-05. This keeps the USD 1300 minimum protected over the next 90 days.
request_63,45352.98,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 153500 minimum protected, although INR 45352.98 is available today."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 36100 minimum protected, although INR 0 is available today."
request_65,11558.8,not_affordable,not_recommended,none,2026-01-19,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 15500 minimum protected, although ZAR 11558.8 is available today."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 in full on 2026-04-03. This keeps the INR 80700 minimum protected over the next 90 days.
request_67,73.89,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 1200 minimum protected, although USD 73.89 is available today."
request_68,850.64,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 1500 minimum protected, although USD 850.64 is available today."
request_69,376.83,affordable_later,wait,2026-03-15:529.1,2026-03-15,none,"Wait until 2026-03-15, then pay EUR 529.1 in full. Paying sooner would put the EUR 700 minimum at risk."
request_70,59952.21,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 115000 minimum protected, although INR 59952.21 is available today."
request_71,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 8884800 minimum protected, although IDR 0 is available today."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 in full on 2026-07-05. This keeps the ZAR 12200 minimum protected over the next 90 days.
request_73,66702.83,affordable_later,wait,2023-02-15:71400,2023-02-15,none,"Wait until 2023-02-15, then pay INR 71400 in full. Paying sooner would put the INR 103200 minimum at risk."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 in full on 2025-08-04. This keeps the ZAR 21900 minimum protected over the next 90 days.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9800.27, starting 2026-04-09. This leaves at least ZAR 39000 available."
request_76,1385.68,not_affordable,not_recommended,none,2024-08-02,none,"Do not make this payment by the requested date. None of the available options keeps the USD 1800 minimum protected, although USD 1385.68 is available today."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 in full on 2025-11-05. This keeps the INR 82200 minimum protected over the next 90 days.
request_78,0,affordable_later,wait,2025-12-17:50200,2025-12-17,none,"Wait until 2025-12-17, then pay INR 50200 in full. Paying sooner would put the INR 55200 minimum at risk."
request_79,204.97,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the EUR 1000 minimum protected, although EUR 204.97 is available today."
request_80,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 121300 minimum protected, although INR 0 is available today."
request_81,1796.71,affordable_later,wait,2026-09-13:2076,2026-09-13,none,"Wait until 2026-09-13, then pay USD 2076 in full. Paying sooner would put the USD 1600 minimum at risk."
request_82,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the USD 1100 minimum protected, although USD 0 is available today."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 37800 minimum protected, although INR 0 is available today."
request_84,29172.81,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 91300 minimum protected, although INR 29172.81 is available today."
request_85,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 6396300 minimum protected, although IDR 0 is available today."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 in full on 2025-08-03. This keeps the INR 84900 minimum protected over the next 90 days.
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 185900 minimum protected, although INR 0 is available today."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-14,none,"Use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25800 available."
request_89,7653163.1,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by the requested date. None of the available options keeps the IDR 12534700 minimum protected, although IDR 7653163.1 is available today."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 in full on 2026-07-06. This keeps the ZAR 7600 minimum protected over the next 90 days.
request_91,912.73,affordable_later,wait,2024-11-13:1927.2,2024-11-13,none,"Wait until 2024-11-13, then pay EUR 1927.2 in full. Paying sooner would put the EUR 2100 minimum at risk."
request_92,31007.91,affordable_with_plan,full_payment,2025-02-05:34034,,reduce_to:event_8660:910.8|reduce_to:event_8662:910.8|reduce_to:event_8661:910.8,Pay ZAR 34034 in full on 2025-02-05 after reducing event_8660 to ZAR 910.8 and reducing event_8662 to ZAR 910.8 and reducing event_8661 to ZAR 910.8. This keeps the ZAR 28100 minimum protected over the next 90 days.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 in full on 2026-04-07. This keeps the USD 1900 minimum protected over the next 90 days.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 in full on 2024-12-04. This keeps the EUR 600 minimum protected over the next 90 days.
request_95,38900.27,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the INR 145500 minimum protected, although INR 38900.27 is available today."
request_96,72166.4,not_affordable,not_recommended,none,2026-03-16,none,"Do not make this payment by the requested date. None of the available options keeps the INR 56500 minimum protected, although INR 72166.4 is available today."
request_97,1740.93,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-14,none,"Use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29700 available."
request_98,2251.21,not_affordable,not_recommended,none,,none,"Do not make this payment by the requested date. None of the available options keeps the ZAR 30000 minimum protected, although ZAR 2251.21 is available today."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 in full on 2026-07-04. This keeps the ZAR 49100 minimum protected over the next 90 days.
